data,cambio,selic,expec_cambio,ic_br_agro,cotacao_petroleo_fmi
2017-08-01,3.1509,9.25,3.2013043478260874,-0.0489448367694898,0.04504477058125156
2017-09-01,3.1348,9.25,3.1704999999999997,0.011675700888482687,0.057994225307932634
2017-10-01,3.1912,8.25,3.165714285714286,0.027525790921418825,0.03497978049717432
2017-11-01,3.2594,7.5,3.2310000000000003,0.05589286351568212,0.08861016624471763
2017-12-01,3.2919,7.5,3.2699999999999996,-0.01736085084883321,0.017647861828914202
2018-01-01,3.2106,7.0,3.271818181818182,-0.006552457412162482,0.07928175330271792
2018-02-01,3.2415,7.0,3.2466666666666666,0.01701653265504799,-0.04084428619398395
2018-03-01,3.2792,6.75,3.2609523809523813,-0.021681536158556725,0.016060174805102356
2018-04-01,3.4075,6.5,3.3299999999999996,0.01698050130132156,0.06630390974850364
2018-05-01,3.6361,6.5,3.5071428571428576,0.07860063154212416,0.06545698759011565
2018-06-01,3.7732,6.5,3.705238095238095,0.02481568991223515,-0.017905850979421878
2018-07-01,3.8288,6.5,3.8138095238095238,0.010823174249614098,0.0095523734954579
2018-08-01,3.9298,6.5,3.792608695652174,0.006030579936495251,-0.021686118146197586
2018-09-01,4.1165,6.5,3.8863157894736844,0.05313354444778007,0.0540468220942687
2018-10-01,3.7584,6.5,3.7899999999999996,-0.06296465281483421,0.017612489528414876
2018-11-01,3.7867,6.5,3.71,0.007280216723122734,-0.20772122130112702
2018-12-01,3.8851,6.5,3.77578947368421,0.028602151161621236,-0.14075712212882285
2019-01-01,3.7417,6.5,3.764545454545455,-0.028959795819922363,0.04684470201618174
2019-02-01,3.7236,6.5,3.6865,-0.007385785228358088,0.07679898706928068
2019-03-01,3.8465,6.5,3.7310526315789474,0.011821738965166695,0.043288240060056715
2019-04-01,3.8962,6.5,3.7935000000000003,0.012236588948290716,0.07143049800183299
2019-05-01,4.0015,6.5,3.860909090909091,-0.026687263162974872,-0.031963657393665024
2019-06-01,3.8588,6.5,3.8278947368421057,-0.02033544187073133,-0.11109032116703155
2019-07-01,3.7793,6.5,3.7704545454545455,-0.010218487326446812,0.03176076611317491
2019-08-01,4.02,6.0,3.8,-0.0031981264932596787,-0.06495159789736338
2019-09-01,4.1215,6.0,3.9480000000000004,0.03997811712080512,0.040755672870321114
2019-10-01,4.087,5.5,4.0,0.04645472869878553,-0.043633862697430637
2019-11-01,4.1553,5.0,4.0145,0.05917761459122417,0.04605751107682465
2019-12-01,4.1096,5.0,4.092,0.017023245479983906,0.049083301322686346
2020-01-01,4.1495,4.5,4.079565217391305,0.019500977429300903,-0.026326788849930338
2020-02-01,4.341,4.5,4.174444444444444,0.009918168529477356,-0.1416108029984029
2020-03-01,4.8839,4.25,4.492727272727273,-0.01773576881795247,-0.5049358511132596
2020-04-01,5.3256,3.75,4.997368421052632,0.015044570934897195,-0.3236785030453908
2020-05-01,5.6434,3.75,5.433,0.11619138265434614,0.29250694572794256
2020-06-01,5.1966,3.0,5.2675,-0.08026561025947387,0.23993283782560226
2020-07-01,5.2802,2.25,5.226818181818182,0.061005608576740755,0.05942749371921874
2020-08-01,5.4612,2.25,5.2319047619047625,0.07394184539862625,0.03741788643421895
2020-09-01,5.3995,2.0,5.2725,0.019361510533308923,-0.06665792220212197
2020-10-01,5.6258,2.0,5.354285714285714,0.05409990041204704,-0.008759440398638851
2020-11-01,5.4178,2.0,5.3685,0.004797993360722508,0.05653986799651767
2020-12-01,5.1456,2.0,5.182857142857143,-0.02853694159890363,0.13180157637905587
2021-01-01,5.3562,2.0,5.1835,0.10740286049741687,0.09493410738278962
2021-02-01,5.4165,2.0,5.271111111111111,0.054226327728742696,0.12278013826420198
2021-03-01,5.6461,2.0,5.421739130434783,0.043617865390801924,0.05023685546356749
2021-04-01,5.5621,2.75,5.4975000000000005,0.012531887620470528,-0.011453856778355309
2021-05-01,5.2911,2.75,5.360742857142857,-0.0010835164015192689,0.050312686181889
2021-06-01,5.0319,3.5,5.123695,-0.05280798173197887,0.07842631378623999
2021-07-01,5.1567,4.25,5.052263636363636,0.04392463821810644,0.013498987501464832
2021-08-01,5.2517,4.25,5.1332545454545455,0.04218655729534593,-0.056028436181462915
2021-09-01,5.2797,5.25,5.1985,-0.0054232168557604155,0.05562179042240256
2021-10-01,5.54,6.25,5.317795,0.0799765451934018,0.11877108504151579
2021-11-01,5.5569,7.75,5.5,0.04207927163695757,-0.033066519576665065
2021-12-01,5.6514,7.75,5.5255090909090905,0.006510853987794718,-0.08440186229816504
2022-01-01,5.5341,9.25,5.588075,0.014580412817348787,0.1402512711716346
2022-02-01,5.1966,9.25,5.4406842105263165,-0.022221515825929572,0.09463972105382101
2022-03-01,4.9684,10.75,5.173559090909091,-0.019412301280517852,0.16885395074335285
2022-04-01,4.758,11.75,4.931315789473683,-0.0023590243579807435,-0.0548553948470909
2022-05-01,4.9551,11.75,4.987218181818182,0.04148910863356203,0.058686861685290026
2022-06-01,5.0492,12.75,5.0390749999999995,-0.022943552527433297,0.04315883125104403
2022-07-01,5.3681,13.25,5.239780952380952,-0.028697414802357102,-0.11286373895923063
2022-08-01,5.1433,13.25,5.301847826086957,-0.0011936660930453868,-0.06885882214184669
2022-09-01,5.237,13.75,5.20298,0.026432152184292512,-0.08079277736549084
2022-10-01,5.2503,13.75,5.2,-0.021008650624254166,0.02782114465716834
2022-11-01,5.2747,13.75,5.224225,0.020042957416770868,-0.04741430023623305
2022-12-01,5.2424,13.75,5.249227272727273,-0.02110506554817526,-0.09986223081953938
2023-01-01,5.2007,13.75,5.251813636363637,0.0030568316147094876,0.03470710352867723
2023-02-01,5.1717,13.75,5.2,0.01955826603008326,-0.0053720403395765
2023-03-01,5.2115,13.75,5.207204347826087,-0.026442974807579844,-0.04678983172958073
